300 0.01
305 0.01
310 0.01
315 0.01
320 0.01
330 0.01
335 0.01
340 0.01
345 0.01
350 0.01
355 0.01
360 0.01
365 0.01
370 0.01
375 0.01
380 0.01
385 0.0125
390 0.025
395 0.05
400 0.1
405 0.2
410 0.4
415 0.8
420 0.9
425 0.95
430 0.98
435 1.0
440 1.0
445 0.97
450 0.94
455 0.9
460 0.8
465 0.7
470 0.62
475 0.55
480 0.45
485 0.4
490 0.22
495 0.16
500 0.1
505 0.079
510 0.063
515 0.05
520 0.04
525 0.032
530 0.025
535 0.02
540 0.016
545 0.013
550 0.01
555 0.008
560 0.006
565 0.005
570 0.004
575 0.003
580 0.002
585 0.002
590 0.001
595 0.001
600 0.0
605 0.0
610 0.0
615 0.0
620 0.0
625 0.0
630 0.0
635 0.0
640 0.0
645 0.0
650 0.0
655 0.0
660 0.0
665 0.0
670 0.0
675 0.0
680 0.0
685 0.0
690 0.0
695 0.0
700 0.0
